element_id,sbml_type,element_name,unit,annotation_type,qualifier,URI,remark
substanceUnits,document,model substances unit,,,,,
extentUnits,document,model extent unit,,,,,
timeUnits,document,model time unit,h,,,,
volumeUnits,document,model volume unit,L,,,,
Dermal_PBK_Tonnelier_Simplified,model,,,rdf,BQB_HAS_PROPERTY,,
Dermal_PBK_Tonnelier_Simplified,model,,,rdf,BQB_HAS_TAXON,,
Liver,compartment,,,rdf,BQM_IS,,
CLiver,species,,,rdf,BQM_IS,,
CLiver,species,,,rdf,BQB_IS,,
k_abs,parameter,,,rdf,BQM_IS,,
k_abs,parameter,,,rdf,BQB_IS,,
Qhepatic,parameter,,,rdf,BQM_IS,,
Qhepatic,parameter,,,rdf,BQB_IS,,
VLiver,parameter,,,rdf,BQM_IS,,
VLiver,parameter,,,rdf,BQB_IS,,
CL_R,parameter,,,rdf,BQM_IS,,
CL_R,parameter,,,rdf,BQB_IS,,
CL_int,parameter,,,rdf,BQM_IS,,
CL_int,parameter,,,rdf,BQB_IS,,
fu,parameter,,,rdf,BQM_IS,,
fu,parameter,,,rdf,BQB_IS,,
CL_H,parameter,,,rdf,BQM_IS,,
CL_H,parameter,,,rdf,BQB_IS,,
