element_id,sbml_type,element_name,unit,annotation_type,qualifier,URI,remark
substanceUnits,document,model substances unit,,,,,
extentUnits,document,model extent unit,,,,,
timeUnits,document,model time unit,,,,,
volumeUnits,document,model volume unit,,,,,
Dermal_Diffusion_Dancik2013,model,,,rdf,BQB_HAS_PROPERTY,,
Dermal_Diffusion_Dancik2013,model,,,rdf,BQB_HAS_TAXON,,
Stratum_Corneum,compartment,,,rdf,BQM_IS,,
Viable_Epidermis,compartment,,,rdf,BQM_IS,,
Dermis,compartment,,,rdf,BQM_IS,,
C_SC,species,,,rdf,BQM_IS,,
C_SC,species,,,rdf,BQB_IS,,
C_VE,species,,,rdf,BQM_IS,,
C_VE,species,,,rdf,BQB_IS,,
C_Dermis,species,,,rdf,BQM_IS,,
C_Dermis,species,,,rdf,BQB_IS,,
Dose_surface,parameter,,,rdf,BQM_IS,,
Dose_surface,parameter,,,rdf,BQB_IS,,
P_SC_VE,parameter,,,rdf,BQM_IS,,
P_SC_VE,parameter,,,rdf,BQB_IS,,
P_VE_Dermis,parameter,,,rdf,BQM_IS,,
P_VE_Dermis,parameter,,,rdf,BQB_IS,,
k_clear,parameter,,,rdf,BQM_IS,,
k_clear,parameter,,,rdf,BQB_IS,,
D_SC,parameter,,,rdf,BQM_IS,,
D_SC,parameter,,,rdf,BQB_IS,,
D_VE,parameter,,,rdf,BQM_IS,,
D_VE,parameter,,,rdf,BQB_IS,,
layer_thick_SC,parameter,,,rdf,BQM_IS,,
layer_thick_SC,parameter,,,rdf,BQB_IS,,
layer_thick_VE,parameter,,,rdf,BQM_IS,,
layer_thick_VE,parameter,,,rdf,BQB_IS,,
K_SC_w,parameter,,,rdf,BQM_IS,,
K_SC_w,parameter,,,rdf,BQB_IS,,
K_VE_w,parameter,,,rdf,BQM_IS,,
K_VE_w,parameter,,,rdf,BQB_IS,,
