idModelInstance,Parameter,Value,Unit,Description,Reference
GilbertSandoval_PARAM,BW,70.0,,body weight,
GilbertSandoval_PARAM,VLc,0.026,,,
GilbertSandoval_PARAM,VBc,0.079,,,
GilbertSandoval_PARAM,VSI,1.29,,,
GilbertSandoval_PARAM,VL,,,,
GilbertSandoval_PARAM,VB,,,,
GilbertSandoval_PARAM,QC,,,,
GilbertSandoval_PARAM,QLc,0.227,,,
GilbertSandoval_PARAM,QL,,,,
GilbertSandoval_PARAM,QRest,,,,
GilbertSandoval_PARAM,PL,1.07,,,
GilbertSandoval_PARAM,PRest,1.0,,,
GilbertSandoval_PARAM,ksto,2.8,,,
GilbertSandoval_PARAM,kt,2.19,,,
GilbertSandoval_PARAM,kfe,0.02,,,
GilbertSandoval_PARAM,kabs,5.05,,,
GilbertSandoval_PARAM,MPL,,,,
GilbertSandoval_PARAM,VmaxMet1c,0.003469,,,
GilbertSandoval_PARAM,VmaxMet2c,0.000542,,,
GilbertSandoval_PARAM,nMet1,1.2,,,
GilbertSandoval_PARAM,nMet2,1.1,,,
GilbertSandoval_PARAM,S50Met1,427.0,,,
GilbertSandoval_PARAM,S50Met2,197.0,,,
