element_id,sbml_type,element_name,unit,annotation_type,qualifier,URI,remark
substanceUnits,document,model substances unit,,,,,
extentUnits,document,model extent unit,,,,,
timeUnits,document,model time unit,,,,,
volumeUnits,document,model volume unit,,,,,
Dermal_PBK_Tonnelier_Simplified,model,,,rdf,BQB_HAS_PROPERTY,,
Dermal_PBK_Tonnelier_Simplified,model,,,rdf,BQB_HAS_TAXON,,
Skin,compartment,,,rdf,BQM_IS,,
Blood,compartment,,,rdf,BQM_IS,,
Liver,compartment,,,rdf,BQM_IS,,
ASkin,species,,,rdf,BQM_IS,,
ASkin,species,,,rdf,BQB_IS,,
CBlood,species,,,rdf,BQM_IS,,
CBlood,species,,,rdf,BQB_IS,,
CLiver,species,,,rdf,BQM_IS,,
CLiver,species,,,rdf,BQB_IS,,
DOSE_derm,parameter,,,rdf,BQM_IS,,
DOSE_derm,parameter,,,rdf,BQB_IS,,
k_abs,parameter,,,rdf,BQM_IS,,
k_abs,parameter,,,rdf,BQB_IS,,
Qhepatic,parameter,,,rdf,BQM_IS,,
Qhepatic,parameter,,,rdf,BQB_IS,,
VBlood,parameter,,,rdf,BQM_IS,,
VBlood,parameter,,,rdf,BQB_IS,,
VLiver,parameter,,,rdf,BQM_IS,,
VLiver,parameter,,,rdf,BQB_IS,,
CL_R,parameter,,,rdf,BQM_IS,,
CL_R,parameter,,,rdf,BQB_IS,,
CL_int,parameter,,,rdf,BQM_IS,,
CL_int,parameter,,,rdf,BQB_IS,,
fu,parameter,,,rdf,BQM_IS,,
fu,parameter,,,rdf,BQB_IS,,
CL_H,parameter,,,rdf,BQM_IS,,
CL_H,parameter,,,rdf,BQB_IS,,
