element_id,sbml_type,element_name,unit,annotation_type,qualifier,URI,remark
substanceUnits,document,model substances unit,mg,,,,
extentUnits,document,model extent unit,mg,,,,
timeUnits,document,model time unit,h,,,,
volumeUnits,document,model volume unit,L,,,,
Dermal_CPF_Timchalk2002_Simplified,model,,,rdf,BQB_HAS_PROPERTY,http://purl.obolibrary.org/obo/CHEBI_34631,
Dermal_CPF_Timchalk2002_Simplified,model,,,rdf,BQB_HAS_TAXON,http://purl.obolibrary.org/obo/NCBITaxon_9606,
Skin,compartment,Skin Compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00470,
ArterialBlood,compartment,Arterial blood compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00552,
VenousBlood,compartment,Venous blood compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00561,
RestOfBody,compartment,Rest of Body Compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00450,
Elimination,compartment,Elimination compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00446,
ASkin,species,amount of chemical in skin,mg,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00506,
ASkin,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_34631,
AArterialBlood,species,amount in arterial blood ,mg,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00631,
AArterialBlood,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_34631,
AVenousBlood,species,amount of chemical in venous blood,mg,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00632,
AVenousBlood,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_34631,
ARestOfBody,species,amount of chemical in rest-of-body,mg,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00501,
ARestOfBody,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_34631,
Aurine,species,amount of chemical eliminated,mg,rdf,BQM_IS,,
Aurine,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_34631,
Qtotal,parameter,Total cardiac output,L/h,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00013,
Qtotal,parameter,,,rdf,BQB_IS,,
Qskin,parameter,skin blood flow,L/h,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00036,
Qskin,parameter,,,rdf,BQB_IS,,
Qrest,parameter,rest of body blood flow ,L/h,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00051,
Qrest,parameter,,,rdf,BQB_IS,,
SkinSurfArea,parameter,Skin Surface Area,cm2,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00010,
SkinSurfArea,parameter,,,rdf,BQB_IS,,
Kp,parameter,Skin permeability coeff,cm/h,rdf,BQM_IS,,
Kp,parameter,,,rdf,BQB_IS,,
Pskin,parameter,skin:blood partition coefficient (unitless),UNITLESS,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00588,
Pskin,parameter,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_34631,
Prest,parameter,rest-of-body:blood partition coefficient,UNITLESS,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00585,
Prest,parameter,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_34631,
Kelim,parameter,elimination rate constant,/h,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00237,
Kelim,parameter,,,rdf,BQB_IS,,
