element_id,sbml_type,element_name,unit,annotation_type,qualifier,URI,remark
substanceUnits,document,model substances unit,,,,,
extentUnits,document,model extent unit,,,,,
timeUnits,document,model time unit,h,,,,
volumeUnits,document,model volume unit,L,,,,
BPA_Dermal_PBK_Hu_layered,model,,,rdf,BQB_HAS_PROPERTY,http://purl.obolibrary.org/obo/CHEBI_33216,
BPA_Dermal_PBK_Hu_layered,model,,,rdf,BQB_HAS_TAXON,http://purl.obolibrary.org/obo/NCBITaxon_9606,
SurfaceDepot,compartment,skin-surface depot sub-compartment (before follicle or SC sub-compartments),L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00625,
ExposedVE,compartment,Exposed Skin Viable Epidermis compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00456,
Follicle,compartment,Follicle sub-compartment,L,rdf,BQM_IS,,
UnexposedSkin,compartment,Unexposed Skin compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00626,
Plasma,compartment,Plasma Compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00488,
Restbody,compartment,Rest of Body Compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00450,
AWELL,species,amount of chemical in Surface Depot (on Skin),,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_06051,
AWELL,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_22901,
AVE,species,"amount of chemical in Viable Epidermis, exposed skin",,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00638,
AVE,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_22901,
AFO,species,amount of chemical in Follicle,,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_06053,
AFO,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_22901,
Askin_unexp,species,amount of chemical in unexposed skin,,rdf,BQM_IS,,
Askin_unexp,species,,,rdf,BQB_IS,,
Aplasma,species,amount of chemical in plasma,,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00502,
Aplasma,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_22901,
ARestbody,species,amount of chemical in rest-of-body,,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00501,
ARestbody,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_22901,
BW,parameter,Body Weight,kg,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00008,
BW,parameter,,,rdf,BQB_IS,,
BSA,parameter,Body Surface Area,dm2,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00010,
BSA,parameter,,,rdf,BQB_IS,,
VplasmaC,parameter,fractional volume of plasma,L/kg,rdf,BQM_IS,,
VplasmaC,parameter,,,rdf,BQB_IS,,
VSkinC,parameter,Fractional volume of skin tissue,L/kg,rdf,BQM_IS,,
VSkinC,parameter,,,rdf,BQB_IS,,
VBody,parameter,Volume of Body Compartment,L/kg,rdf,BQM_IS,,
VBody,parameter,,,rdf,BQB_IS,,
QCC,parameter,cardiac blood output,L/min,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00013,
QCC,parameter,,,rdf,BQB_IS,,
QSkinC,parameter,fractional blood flow to the skin (scaled),UNITLESS,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00037,
QSkinC,parameter,,,rdf,BQB_IS,,
Area_exposed_skin,parameter,area of exposed skin,dm2,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_04063,
Area_exposed_skin,parameter,,,rdf,BQB_IS,,
Area_exposed_follicle,parameter,area of exposed follicle,UNITLESS,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00110,
Area_exposed_follicle,parameter,,,rdf,BQB_IS,,
Thickness_epidermis_finger,parameter,thickness of epidermis (finger),,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_04060,
Thickness_epidermis_finger,parameter,,,rdf,BQB_IS,,
Thickness_skin_finger,parameter,thickness of skin (finger),,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00635,
Thickness_skin_finger,parameter,,,rdf,BQB_IS,,
Thickness_SC,parameter,thickness of stratum corneum,,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00643,
Thickness_SC,parameter,,,rdf,BQB_IS,,
Thickness_VE,parameter,thickness of viable epidermis,,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00644,
Thickness_VE,parameter,,,rdf,BQB_IS,,
