element_id,sbml_type,element_name,unit,annotation_type,qualifier,URI,remark
substanceUnits,document,model substances unit,umol,,,,
extentUnits,document,model extent unit,umol,,,,
timeUnits,document,model time unit,h,,,,
volumeUnits,document,model volume unit,L,,,,
permethrin_dermal_minPBK,model,,,rdf,BQB_HAS_PROPERTY,,
permethrin_dermal_minPBK,model,,,rdf,BQB_HAS_TAXON,,
default_compartment,compartment,,,rdf,BQM_IS,,
Blood,compartment,,,rdf,BQM_IS,,
RestBody,compartment,,,rdf,BQM_IS,,
SC,compartment,,,rdf,BQM_IS,,
VE,compartment,,,rdf,BQM_IS,,
Asurfacedepot,species,,,rdf,BQM_IS,,
Asurfacedepot,species,,,rdf,BQB_IS,,
ASC,species,,,rdf,BQM_IS,,
ASC,species,,,rdf,BQB_IS,,
AVE,species,,,rdf,BQM_IS,,
AVE,species,,,rdf,BQB_IS,,
CBlood,species,,,rdf,BQM_IS,,
CBlood,species,,,rdf,BQB_IS,,
CRestbody,species,,,rdf,BQM_IS,,
CRestbody,species,,,rdf,BQB_IS,,
Kd_SC,parameter,,,rdf,BQM_IS,,
Kd_SC,parameter,,,rdf,BQB_IS,,
Kd_VE,parameter,,,rdf,BQM_IS,,
Kd_VE,parameter,,,rdf,BQB_IS,,
CO,parameter,,,rdf,BQM_IS,,
CO,parameter,,,rdf,BQB_IS,,
Qskin,parameter,,,rdf,BQM_IS,,
Qskin,parameter,,,rdf,BQB_IS,,
Prestbody,parameter,,,rdf,BQM_IS,,
Prestbody,parameter,,,rdf,BQB_IS,,
CL,parameter,,,rdf,BQM_IS,,
CL,parameter,,,rdf,BQB_IS,,
C_Arterial_blood,parameter,,,rdf,BQM_IS,,
C_Arterial_blood,parameter,,,rdf,BQB_IS,,
C_VE,parameter,,,rdf,BQM_IS,,
C_VE,parameter,,,rdf,BQB_IS,,
