element_id,sbml_type,element_name,unit,annotation_type,qualifier,URI,remark
substanceUnits,document,model substances unit,,,,,
extentUnits,document,model extent unit,,,,,
timeUnits,document,model time unit,,,,,
volumeUnits,document,model volume unit,,,,,
GI,compartment,,,rdf,BQM_IS,,
Liver,compartment,liver,,rdf,BQM_IS,,
Plasma,compartment,blood plasma,,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00488,
Rest,compartment,rest-of-body,,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00450,
AGI,species,,,rdf,BQM_IS,,
AGI,species,,,rdf,BQB_IS,,
ALiver,species,amount of chemical in liver,,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00497,
ALiver,species,,,rdf,BQB_IS,,
APlasma,species,amount of chemical in plasma,,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00502,
APlasma,species,,,rdf,BQB_IS,,
ARest,species,amount of chemical in rest-of-body,,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00501,
ARest,species,,,rdf,BQB_IS,,
BW,parameter,body weight,,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00008,
BW,parameter,,,rdf,BQB_IS,,
VLc,parameter,,,rdf,BQM_IS,,
VLc,parameter,,,rdf,BQB_IS,,
VPlasmac,parameter,,,rdf,BQM_IS,,
VPlasmac,parameter,,,rdf,BQB_IS,,
VGIc,parameter,,,rdf,BQM_IS,,
VGIc,parameter,,,rdf,BQB_IS,,
VL,parameter,,,rdf,BQM_IS,,
VL,parameter,,,rdf,BQB_IS,,
VPlasma,parameter,,,rdf,BQM_IS,,
VPlasma,parameter,,,rdf,BQB_IS,,
VGI,parameter,,,rdf,BQM_IS,,
VGI,parameter,,,rdf,BQB_IS,,
VRest,parameter,,,rdf,BQM_IS,,
VRest,parameter,,,rdf,BQB_IS,,
QC,parameter,,,rdf,BQM_IS,,
QC,parameter,,,rdf,BQB_IS,,
QPlasma,parameter,,,rdf,BQM_IS,,
QPlasma,parameter,,,rdf,BQB_IS,,
Htc,parameter,hematocrit,,rdf,BQM_IS,,
Htc,parameter,,,rdf,BQB_IS,,
QLc,parameter,,,rdf,BQM_IS,,
QLc,parameter,,,rdf,BQB_IS,,
QGIc,parameter,,,rdf,BQM_IS,,
QGIc,parameter,,,rdf,BQB_IS,,
QL,parameter,,,rdf,BQM_IS,,
QL,parameter,,,rdf,BQB_IS,,
QGI,parameter,,,rdf,BQM_IS,,
QGI,parameter,,,rdf,BQB_IS,,
QRest,parameter,,,rdf,BQM_IS,,
QRest,parameter,,,rdf,BQB_IS,,
Free,parameter,,,rdf,BQM_IS,,
Free,parameter,,,rdf,BQB_IS,,
PL,parameter,,,rdf,BQM_IS,,
PL,parameter,,,rdf,BQB_IS,,
PG,parameter,,,rdf,BQM_IS,,
PG,parameter,,,rdf,BQB_IS,,
PRest,parameter,,,rdf,BQM_IS,,
PRest,parameter,,,rdf,BQB_IS,,
CGI,parameter,,,rdf,BQM_IS,,
CGI,parameter,,,rdf,BQB_IS,,
CLiver,parameter,,,rdf,BQM_IS,,
CLiver,parameter,,,rdf,BQB_IS,,
CPlasma,parameter,,,rdf,BQM_IS,,
CPlasma,parameter,,,rdf,BQB_IS,,
CRest,parameter,,,rdf,BQM_IS,,
CRest,parameter,,,rdf,BQB_IS,,
