element_id,sbml_type,element_name,unit,annotation_type,qualifier,URI,remark
substanceUnits,document,model substances unit,mg,,,,
extentUnits,document,model extent unit,,,,,
timeUnits,document,model time unit,d,,,,
volumeUnits,document,model volume unit,L,,,,
Carrier2001_Hg_Human,model,,,rdf,BQB_HAS_PROPERTY,http://purl.obolibrary.org/obo/CHEBI_16170,
Carrier2001_Hg_Human,model,,,rdf,BQB_HAS_TAXON,http://purl.obolibrary.org/obo/NCBITaxon_9606,
GI,compartment,Gastrointestinal compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00477,
Liver,compartment,Liver compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00558,
Blood,compartment,Blood compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00464,
AGI,species,Amount in gastrointestinal compartment,mg,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00496,
AGI,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_16170,
ABlood,species,Amount in blood,mg,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00623,
ABlood,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_16170,
ALiver_Met,species,Amount in liver (metabolised),mg,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00497,
ALiver_Met,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_16170,
BW,parameter,Bodyweight,kg,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00008,
BW,parameter,,,rdf,BQB_IS,,
VGIc,parameter,Volume fraction of gut,L/kg,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00509,
VGIc,parameter,,,rdf,BQB_IS,,
VBc,parameter,Volume fraction of blood,L/kg,rdf,BQM_IS,,
VBc,parameter,,,rdf,BQB_IS,,
VLc,parameter,Volume fraction of liver,L/kg,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00078,
VLc,parameter,,,rdf,BQB_IS,,
VB,parameter,Volume of blood,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00108,
VB,parameter,,,rdf,BQB_IS,,
VGI,parameter,Volume of gastrointestinal compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00524,
VGI,parameter,,,rdf,BQB_IS,,
VL,parameter,Volume of liver,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00077,
VL,parameter,,,rdf,BQB_IS,,
kabs,parameter,Oral absorption rate constant,/d,rdf,BQM_IS,https://github.com/Crispae/pbpko/blob/main/pbpko.owl#OWLClass_6a86eddf_f1dc_4deb_90e9_3d52926078cd,
kabs,parameter,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_16170,
Frac,parameter,Bioavailability,UNITLESS,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00263,
Frac,parameter,,,rdf,BQB_IS,,
kmet_liver,parameter,Metabolism rate constant,/d,rdf,BQM_IS,,
kmet_liver,parameter,,,rdf,BQB_IS,,
CGI,parameter,Concentration in gastrointestinal compartment,mg/L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00538,
CGI,parameter,,,rdf,BQB_IS,,
CBlood,parameter,Concentration in blood,mg/L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00301,
CBlood,parameter,,,rdf,BQB_IS,,
