element_id,sbml_type,element_name,unit,annotation_type,qualifier,URI,remark
substanceUnits,document,model substances unit,,,,,
extentUnits,document,model extent unit,,,,,
timeUnits,document,model time unit,,,,,
volumeUnits,document,model volume unit,,,,,
Wei_Pyrethroid_Human,model,,,rdf,BQB_HAS_PROPERTY,,
Wei_Pyrethroid_Human,model,,,rdf,BQB_HAS_TAXON,,
Stomach,compartment,,,rdf,BQM_IS,,
Intestinal,compartment,,,rdf,BQM_IS,,
Liver,compartment,,,rdf,BQM_IS,,
Blood,compartment,,,rdf,BQM_IS,,
RestVC,compartment,,,rdf,BQM_IS,,
RestT,compartment,,,rdf,BQM_IS,,
Fecal,compartment,,,rdf,BQM_IS,,
Urine,compartment,,,rdf,BQM_IS,,
ExcretionCompartment,compartment,,,rdf,BQM_IS,,
ASt,species,,,rdf,BQM_IS,,
ASt,species,,,rdf,BQB_IS,,
AIT,species,,,rdf,BQM_IS,,
AIT,species,,,rdf,BQB_IS,,
ALiver,species,,,rdf,BQM_IS,,
ALiver,species,,,rdf,BQB_IS,,
ABlood,species,,,rdf,BQM_IS,,
ABlood,species,,,rdf,BQB_IS,,
ARestT,species,,,rdf,BQM_IS,,
ARestT,species,,,rdf,BQB_IS,,
ARestVC,species,,,rdf,BQM_IS,,
ARestVC,species,,,rdf,BQB_IS,,
ALiverMet,species,,,rdf,BQM_IS,,
ALiverMet,species,,,rdf,BQB_IS,,
ABloodMet,species,,,rdf,BQM_IS,,
ABloodMet,species,,,rdf,BQB_IS,,
AExcr,species,,,rdf,BQM_IS,,
AExcr,species,,,rdf,BQB_IS,,
AFecal,species,,,rdf,BQM_IS,,
AFecal,species,,,rdf,BQB_IS,,
AUrine,species,,,rdf,BQM_IS,,
AUrine,species,,,rdf,BQB_IS,,
BW,parameter,,,rdf,BQM_IS,,
BW,parameter,,,rdf,BQB_IS,,
VBc,parameter,,,rdf,BQM_IS,,
VBc,parameter,,,rdf,BQB_IS,,
VLc,parameter,,,rdf,BQM_IS,,
VLc,parameter,,,rdf,BQB_IS,,
VB,parameter,,,rdf,BQM_IS,,
VB,parameter,,,rdf,BQB_IS,,
VL,parameter,,,rdf,BQM_IS,,
VL,parameter,,,rdf,BQB_IS,,
VRest,parameter,,,rdf,BQM_IS,,
VRest,parameter,,,rdf,BQB_IS,,
BVRestC,parameter,,,rdf,BQM_IS,,
BVRestC,parameter,,,rdf,BQB_IS,,
BVRest,parameter,,,rdf,BQM_IS,,
BVRest,parameter,,,rdf,BQB_IS,,
QCc,parameter,,,rdf,BQM_IS,,
QCc,parameter,,,rdf,BQB_IS,,
QC,parameter,,,rdf,BQM_IS,,
QC,parameter,,,rdf,BQB_IS,,
QLc,parameter,,,rdf,BQM_IS,,
QLc,parameter,,,rdf,BQB_IS,,
QL,parameter,,,rdf,BQM_IS,,
QL,parameter,,,rdf,BQB_IS,,
QRest,parameter,,,rdf,BQM_IS,,
QRest,parameter,,,rdf,BQB_IS,,
PL,parameter,,,rdf,BQM_IS,,
PL,parameter,,,rdf,BQB_IS,,
PRest,parameter,,,rdf,BQM_IS,,
PRest,parameter,,,rdf,BQB_IS,,
PSARestc,parameter,,,rdf,BQM_IS,,
PSARestc,parameter,,,rdf,BQB_IS,,
PSARest,parameter,,,rdf,BQM_IS,,
PSARest,parameter,,,rdf,BQB_IS,,
ksto,parameter,,,rdf,BQM_IS,,
ksto,parameter,,,rdf,BQB_IS,,
kabs,parameter,,,rdf,BQM_IS,,
kabs,parameter,,,rdf,BQB_IS,,
k0,parameter,,,rdf,BQM_IS,,
k0,parameter,,,rdf,BQB_IS,,
kfe,parameter,,,rdf,BQM_IS,,
kfe,parameter,,,rdf,BQB_IS,,
kur,parameter,,,rdf,BQM_IS,,
kur,parameter,,,rdf,BQB_IS,,
CLintLC,parameter,,,rdf,BQM_IS,,
CLintLC,parameter,,,rdf,BQB_IS,,
CLintL,parameter,,,rdf,BQM_IS,,
CLintL,parameter,,,rdf,BQB_IS,,
CLintBC,parameter,,,rdf,BQM_IS,,
CLintBC,parameter,,,rdf,BQB_IS,,
CLintB,parameter,,,rdf,BQM_IS,,
CLintB,parameter,,,rdf,BQB_IS,,
CIT,parameter,,,rdf,BQM_IS,,
CIT,parameter,,,rdf,BQB_IS,,
CLiver,parameter,,,rdf,BQM_IS,,
CLiver,parameter,,,rdf,BQB_IS,,
CBlood,parameter,,,rdf,BQM_IS,,
CBlood,parameter,,,rdf,BQB_IS,,
CRestT,parameter,,,rdf,BQM_IS,,
CRestT,parameter,,,rdf,BQB_IS,,
CRestVC,parameter,,,rdf,BQM_IS,,
CRestVC,parameter,,,rdf,BQB_IS,,
