element_id,sbml_type,element_name,unit,annotation_type,qualifier,URI,remark
substanceUnits,document,model substances unit,ug,,,,
extentUnits,document,model extent unit,ug,,,,
timeUnits,document,model time unit,d,,,,
volumeUnits,document,model volume unit,L,,,,
Pouillot2022_Cd_Human,model,,,rdf,BQB_IS_DESCRIBED_BY,https://doi.org/10.1016/j.toxlet.2022.07.812,
Pouillot2022_Cd_Human,model,,,rdf,BQB_HAS_PROPERTY,http://purl.obolibrary.org/obo/CHEBI_22978,
Pouillot2022_Cd_Human,model,,,rdf,BQB_HAS_TAXON,http://purl.obolibrary.org/obo/NCBITaxon_9606,
GI,compartment,Gut compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00477,
Intestinal_Tissue,compartment,Intestinal tissue compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_02004,
Plasma,compartment,Plasma compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00488,
Red_Blood_Cell,compartment,Red blood cells compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00634,
Metallothionein,compartment,Metallothionein blood compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00464,
Rest,compartment,Rest of body compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00450,
Daily_Uptake,compartment,Amount of daily uptake,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00446,
Feces,compartment,Amount exreted as feces,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00555,
Urine,compartment,Urine compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00556,
AGI,species,Amount in gut,ug,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00496,
AGI,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_22978,
ATI,species,Amount in intestinal tissue,ug,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_06015,
ATI,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_22978,
APlasma,species,Amount in plasma,ug,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00502,
APlasma,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_22978,
ARBC,species,Amount in red blood cells,ug,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00623,
ARBC,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_22978,
AMetallothionein,species,Amount in metallothionein blood,ug,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00623,
AMetallothionein,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_22978,
ARest,species,Amount in rest of body,ug,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00501,
ARest,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_22978,
ADaily_Uptake,species,Amount of daily uptake,ug,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00286,
ADaily_Uptake,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_22978,
AFeces,species,Amount in Feces,ug,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00273,
AFeces,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_22978,
AUrine,species,amount in urine,ug,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00272,
AUrine,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_22978,
C5,parameter,Fraction of GI-tract Cd retained in epithelium,UNITLESS,rdf,BQM_IS,,
C5,parameter,,,rdf,BQB_IS,,
C6,parameter,Transfer rate of cadmium in the GI-tract to uptake pool,/d,rdf,BQM_IS,,
C6,parameter,,,rdf,BQB_IS,,
C7,parameter,fraction of uptake pool transferred to blood pool B4,UNITLESS,rdf,BQM_IS,,
C7,parameter,,,rdf,BQB_IS,,
CX,parameter,Rate of transfer of Cd in B1 to blood B2,UNITLESS,rdf,BQM_IS,,
CX,parameter,,,rdf,BQB_IS,,
C16,parameter,Transfer rate from blood pool B2 t oblood pool B3,/d,rdf,BQM_IS,,
C16,parameter,,,rdf,BQB_IS,,
C8,parameter,Maximum amount,ug,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_06052,
C8,parameter,,,rdf,BQB_IS,,
C9,parameter,Transfer rate from blood to other tissues,UNITLESS,rdf,BQM_IS,,
C9,parameter,,,rdf,BQB_IS,,
C10,parameter,Transfer rate from other tissues to blood,/d,rdf,BQM_IS,,
C10,parameter,,,rdf,BQB_IS,,
C11,parameter,Fraction,UNITLESS,rdf,BQM_IS,,
C11,parameter,,,rdf,BQB_IS,,
C17,parameter,Transfer rate from blood to kidney,UNITLESS,rdf,BQM_IS,,
C17,parameter,,,rdf,BQB_IS,,
C7m,parameter,Fraction,UNITLESS,rdf,BQM_IS,,
C7m,parameter,,,rdf,BQB_IS,,
