element_id,sbml_type,element_name,unit,annotation_type,qualifier,URI,remark
substanceUnits,document,model substances unit,,,,,
extentUnits,document,model extent unit,,,,,
timeUnits,document,model time unit,,,,,
volumeUnits,document,model volume unit,,,,,
Poet2014_DermalOnly_SimplifiedCPF,model,,,rdf,BQB_HAS_PROPERTY,,
Poet2014_DermalOnly_SimplifiedCPF,model,,,rdf,BQB_HAS_TAXON,,
Skin,compartment,,,rdf,BQM_IS,,
ArterialBlood,compartment,,,rdf,BQM_IS,,
VenousBlood,compartment,,,rdf,BQM_IS,,
RestOfBody,compartment,,,rdf,BQM_IS,,
Elimination,compartment,,,rdf,BQM_IS,,
ADermalLiquid,species,,,rdf,BQM_IS,,
ADermalLiquid,species,,,rdf,BQB_IS,,
ASkin,species,,,rdf,BQM_IS,,
ASkin,species,,,rdf,BQB_IS,,
AArterialBlood,species,,,rdf,BQM_IS,,
AArterialBlood,species,,,rdf,BQB_IS,,
AVenousBlood,species,,,rdf,BQM_IS,,
AVenousBlood,species,,,rdf,BQB_IS,,
ARestOfBody,species,,,rdf,BQM_IS,,
ARestOfBody,species,,,rdf,BQB_IS,,
ATCP,species,,,rdf,BQM_IS,,
ATCP,species,,,rdf,BQB_IS,,
Aurine,species,,,rdf,BQM_IS,,
Aurine,species,,,rdf,BQB_IS,,
BW,parameter,,,rdf,BQM_IS,,
BW,parameter,,,rdf,BQB_IS,,
HT,parameter,,,rdf,BQM_IS,,
HT,parameter,,,rdf,BQB_IS,,
TotalBodySurfArea,parameter,,,rdf,BQM_IS,,
TotalBodySurfArea,parameter,,,rdf,BQB_IS,,
SkinSurfArea,parameter,,,rdf,BQM_IS,,
SkinSurfArea,parameter,,,rdf,BQB_IS,,
VTotalSkin,parameter,,,rdf,BQM_IS,,
VTotalSkin,parameter,,,rdf,BQB_IS,,
VSkin,parameter,,,rdf,BQM_IS,,
VSkin,parameter,,,rdf,BQB_IS,,
VArtBlood,parameter,,,rdf,BQM_IS,,
VArtBlood,parameter,,,rdf,BQB_IS,,
VVenBlood,parameter,,,rdf,BQM_IS,,
VVenBlood,parameter,,,rdf,BQB_IS,,
VRest,parameter,,,rdf,BQM_IS,,
VRest,parameter,,,rdf,BQB_IS,,
VElimination,parameter,,,rdf,BQM_IS,,
VElimination,parameter,,,rdf,BQB_IS,,
Qtotal,parameter,,,rdf,BQM_IS,,
Qtotal,parameter,,,rdf,BQB_IS,,
Qskin_total,parameter,,,rdf,BQM_IS,,
Qskin_total,parameter,,,rdf,BQB_IS,,
Qskin,parameter,,,rdf,BQM_IS,,
Qskin,parameter,,,rdf,BQB_IS,,
Qrest,parameter,,,rdf,BQM_IS,,
Qrest,parameter,,,rdf,BQB_IS,,
Kp,parameter,,,rdf,BQM_IS,,
Kp,parameter,,,rdf,BQB_IS,,
Pskin,parameter,,,rdf,BQM_IS,,
Pskin,parameter,,,rdf,BQB_IS,,
Prest,parameter,,,rdf,BQM_IS,,
Prest,parameter,,,rdf,BQB_IS,,
Frac_Bound,parameter,,,rdf,BQM_IS,,
Frac_Bound,parameter,,,rdf,BQB_IS,,
F_free,parameter,,,rdf,BQM_IS,,
F_free,parameter,,,rdf,BQB_IS,,
VMCDERMCP,parameter,,,rdf,BQM_IS,,
VMCDERMCP,parameter,,,rdf,BQB_IS,,
KMDERMCP,parameter,,,rdf,BQM_IS,,
KMDERMCP,parameter,,,rdf,BQB_IS,,
VMCDERMCO,parameter,,,rdf,BQM_IS,,
VMCDERMCO,parameter,,,rdf,BQB_IS,,
KMDERMCO,parameter,,,rdf,BQM_IS,,
KMDERMCO,parameter,,,rdf,BQB_IS,,
Vmax_skin_to_TCP,parameter,,,rdf,BQM_IS,,
Vmax_skin_to_TCP,parameter,,,rdf,BQB_IS,,
Vmax_skin_to_oxon,parameter,,,rdf,BQM_IS,,
Vmax_skin_to_oxon,parameter,,,rdf,BQB_IS,,
Kelim,parameter,,,rdf,BQM_IS,,
Kelim,parameter,,,rdf,BQB_IS,,
Vdistr,parameter,,,rdf,BQM_IS,,
Vdistr,parameter,,,rdf,BQB_IS,,
CArt,parameter,,,rdf,BQM_IS,,
CArt,parameter,,,rdf,BQB_IS,,
CVen,parameter,,,rdf,BQM_IS,,
CVen,parameter,,,rdf,BQB_IS,,
CSkin,parameter,,,rdf,BQM_IS,,
CSkin,parameter,,,rdf,BQB_IS,,
CRest,parameter,,,rdf,BQM_IS,,
CRest,parameter,,,rdf,BQB_IS,,
CTCP,parameter,,,rdf,BQM_IS,,
CTCP,parameter,,,rdf,BQB_IS,,
CArtFree,parameter,,,rdf,BQM_IS,,
CArtFree,parameter,,,rdf,BQB_IS,,
CVenFree,parameter,,,rdf,BQM_IS,,
CVenFree,parameter,,,rdf,BQB_IS,,
CVSkinFree,parameter,,,rdf,BQM_IS,,
CVSkinFree,parameter,,,rdf,BQB_IS,,
CVRestFree,parameter,,,rdf,BQM_IS,,
CVRestFree,parameter,,,rdf,BQB_IS,,
DermalDose_umol,parameter,,,rdf,BQM_IS,,
DermalDose_umol,parameter,,,rdf,BQB_IS,,
