element_id,sbml_type,element_name,unit,annotation_type,qualifier,URI,remark
substanceUnits,document,model substances unit,mg,,,,
extentUnits,document,model extent unit,mg,,,,
timeUnits,document,model time unit,h,,,,
volumeUnits,document,model volume unit,L,,,,
Husoy2023_Dermal,model,,,rdf,BQB_HAS_PROPERTY,,
Husoy2023_Dermal,model,,,rdf,BQB_HAS_TAXON,,
Skin,compartment,Skin compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00470,
Plasma,compartment,,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00488,
RestBody,compartment,,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00450,
Kidney,compartment,,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00557,
Urine,compartment,,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00556,
ASkin,species,,,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00506,
ASkin,species,,,rdf,BQB_IS,,
APlasma,species,,,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00502,
APlasma,species,,,rdf,BQB_IS,,
ARestbody,species,,,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00501,
ARestbody,species,,,rdf,BQB_IS,,
AKidney,species,,,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00498,
AKidney,species,,,rdf,BQB_IS,,
AUrine,species,,,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00272,
AUrine,species,,,rdf,BQB_IS,,
BW,parameter,,,rdf,BQM_IS,,
BW,parameter,,,rdf,BQB_IS,,
QOP,parameter,,,rdf,BQM_IS,,
QOP,parameter,,,rdf,BQB_IS,,
QSkin,parameter,,,rdf,BQM_IS,,
QSkin,parameter,,,rdf,BQB_IS,,
QKidney,parameter,,,rdf,BQM_IS,,
QKidney,parameter,,,rdf,BQB_IS,,
QRest,parameter,,,rdf,BQM_IS,,
QRest,parameter,,,rdf,BQB_IS,,
VSkinC,parameter,,,rdf,BQM_IS,,
VSkinC,parameter,,,rdf,BQB_IS,,
VPlasmaC,parameter,,,rdf,BQM_IS,,
VPlasmaC,parameter,,,rdf,BQB_IS,,
VRestC,parameter,,,rdf,BQM_IS,,
VRestC,parameter,,,rdf,BQB_IS,,
VKidneyC,parameter,,,rdf,BQM_IS,,
VKidneyC,parameter,,,rdf,BQB_IS,,
VSkin,parameter,,,rdf,BQM_IS,,
VSkin,parameter,,,rdf,BQB_IS,,
VPlasma,parameter,,,rdf,BQM_IS,,
VPlasma,parameter,,,rdf,BQB_IS,,
VRest,parameter,,,rdf,BQM_IS,,
VRest,parameter,,,rdf,BQB_IS,,
VKidney,parameter,,,rdf,BQM_IS,,
VKidney,parameter,,,rdf,BQB_IS,,
Cskin,parameter,,,rdf,BQM_IS,,
Cskin,parameter,,,rdf,BQB_IS,,
Ctotal,parameter,,,rdf,BQM_IS,,
Ctotal,parameter,,,rdf,BQB_IS,,
CRest,parameter,,,rdf,BQM_IS,,
CRest,parameter,,,rdf,BQB_IS,,
CKidney,parameter,,,rdf,BQM_IS,,
CKidney,parameter,,,rdf,BQB_IS,,
CVskin,parameter,,,rdf,BQM_IS,,
CVskin,parameter,,,rdf,BQB_IS,,
PSkin,parameter,,,rdf,BQM_IS,,
PSkin,parameter,,,rdf,BQB_IS,,
CVRest,parameter,,,rdf,BQM_IS,,
CVRest,parameter,,,rdf,BQB_IS,,
PRest,parameter,,,rdf,BQM_IS,,
PRest,parameter,,,rdf,BQB_IS,,
CVKidney,parameter,,,rdf,BQM_IS,,
CVKidney,parameter,,,rdf,BQB_IS,,
PKidney,parameter,,,rdf,BQM_IS,,
PKidney,parameter,,,rdf,BQB_IS,,
Free,parameter,,,rdf,BQM_IS,,
Free,parameter,,,rdf,BQB_IS,,
FreeR,parameter,,,rdf,BQM_IS,,
FreeR,parameter,,,rdf,BQB_IS,,
FreeK,parameter,,,rdf,BQM_IS,,
FreeK,parameter,,,rdf,BQB_IS,,
kurinec,parameter,,,rdf,BQM_IS,,
kurinec,parameter,,,rdf,BQB_IS,,
kurine,parameter,,,rdf,BQM_IS,,
kurine,parameter,,,rdf,BQB_IS,,
SkinArea,parameter,,,rdf,BQM_IS,,
SkinArea,parameter,,,rdf,BQB_IS,,
AbsPFOA,parameter,,,rdf,BQM_IS,,
AbsPFOA,parameter,,,rdf,BQB_IS,,
