element_id,sbml_type,element_name,unit,annotation_type,qualifier,URI,remark
substanceUnits,document,model substances unit,,,,,
extentUnits,document,model extent unit,,,,,
timeUnits,document,model time unit,,,,,
volumeUnits,document,model volume unit,,,,,
GI,compartment,,,rdf,BQM_IS,,
Intestinal_Tissue,compartment,,,rdf,BQM_IS,,
Liver,compartment,liver,,rdf,BQM_IS,,
Kidney,compartment,kidney,,rdf,BQM_IS,,
Plasma,compartment,blood plasma,,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00488,
Red_Blood_Cell,compartment,,,rdf,BQM_IS,,
Metallothionein,compartment,,,rdf,BQM_IS,,
Rest,compartment,rest-of-body,,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00450,
Daily_Uptake,compartment,,,rdf,BQM_IS,,
AGI,species,,,rdf,BQM_IS,,
AGI,species,,,rdf,BQB_IS,,
ATI,species,,,rdf,BQM_IS,,
ATI,species,,,rdf,BQB_IS,,
ALiver,species,amount of chemical in liver,,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00497,
ALiver,species,,,rdf,BQB_IS,,
AKidney,species,amount of chemical in kidney,,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00498,
AKidney,species,,,rdf,BQB_IS,,
APlasma,species,amount of chemical in plasma,,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00502,
APlasma,species,,,rdf,BQB_IS,,
ARBC,species,,,rdf,BQM_IS,,
ARBC,species,,,rdf,BQB_IS,,
AMetallothionein,species,,,rdf,BQM_IS,,
AMetallothionein,species,,,rdf,BQB_IS,,
ARest,species,amount of chemical in rest-of-body,,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00501,
ARest,species,,,rdf,BQB_IS,,
ADaily_Uptake,species,,,rdf,BQM_IS,,
ADaily_Uptake,species,,,rdf,BQB_IS,,
Age,parameter,,,rdf,BQM_IS,,
Age,parameter,,,rdf,BQB_IS,,
BW,parameter,body weight,,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00008,
BW,parameter,,,rdf,BQB_IS,,
C5,parameter,,,rdf,BQM_IS,,
C5,parameter,,,rdf,BQB_IS,,
C6,parameter,,,rdf,BQM_IS,,
C6,parameter,,,rdf,BQB_IS,,
C7,parameter,,,rdf,BQM_IS,,
C7,parameter,,,rdf,BQB_IS,,
C8,parameter,,,rdf,BQM_IS,,
C8,parameter,,,rdf,BQB_IS,,
C9,parameter,,,rdf,BQM_IS,,
C9,parameter,,,rdf,BQB_IS,,
C10,parameter,,,rdf,BQM_IS,,
C10,parameter,,,rdf,BQB_IS,,
C12,parameter,,,rdf,BQM_IS,,
C12,parameter,,,rdf,BQB_IS,,
C13,parameter,,,rdf,BQM_IS,,
C13,parameter,,,rdf,BQB_IS,,
C14,parameter,,,rdf,BQM_IS,,
C14,parameter,,,rdf,BQB_IS,,
C16,parameter,,,rdf,BQM_IS,,
C16,parameter,,,rdf,BQB_IS,,
C17,parameter,,,rdf,BQM_IS,,
C17,parameter,,,rdf,BQB_IS,,
C18,parameter,,,rdf,BQM_IS,,
C18,parameter,,,rdf,BQB_IS,,
CX,parameter,,,rdf,BQM_IS,,
CX,parameter,,,rdf,BQB_IS,,
