element_id,sbml_type,element_name,unit,annotation_type,qualifier,URI,remark
substanceUnits,document,model substances unit,ug,,,,
extentUnits,document,model extent unit,,,,,
timeUnits,document,model time unit,h,,,,
volumeUnits,document,model volume unit,L,,,,
Ou2018_Hg_Human,model,,,rdf,BQB_HAS_PROPERTY,http://purl.obolibrary.org/obo/CHEBI_25322,
Ou2018_Hg_Human,model,,,rdf,BQB_HAS_TAXON,http://purl.obolibrary.org/obo/NCBITaxon_9606,
Gut_lumen,compartment,Gut lumen compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00478,
Gut,compartment,Gut compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00477,
Liver,compartment,Liver compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00558,
Red_Blood_Cell,compartment,Red blood cells compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00634,
Plasma,compartment,Plasma compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00488,
Rest,compartment,Rest of body compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00450,
Feces,compartment,Feces compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00555,
AGut_lumen,species,Amount in gut lumen,ug,rdf,BQM_IS,,
AGut_lumen,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_25322,
AGut,species,Amount in gut,ug,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00496,
AGut,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_25322,
ALiver,species,Amount in liver,ug,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00497,
ALiver,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_25322,
ARBC,species,Amount in red blood cells,ug,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00623,
ARBC,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_25322,
APlasma,species,Amount in plasma,ug,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00502,
APlasma,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_25322,
ARest,species,Amount in rest of body,ug,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00501,
ARest,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_25322,
AFeces,species,Amount in feces,ug,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00273,
AFeces,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_25322,
ALiver_Met,species,Amount in liver (metabolised),ug,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00497,
ALiver_Met,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_35113,
AGutlumen_Met,species,Amount in gut lumen (metabolised),ug,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00496,
AGutlumen_Met,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_35113,
Age,parameter,Age,y,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00521,
Age,parameter,,,rdf,BQB_IS,,
BW,parameter,Bodyweight,kg,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00008,
BW,parameter,,,rdf,BQB_IS,,
VGut_lumenc,parameter,Gut lumen volume,L,rdf,BQM_IS,,
VGut_lumenc,parameter,,,rdf,BQB_IS,,
VGc,parameter,Volume of gut constant,L/kg,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00509,
VGc,parameter,,,rdf,BQB_IS,,
VLc,parameter,Volume of liver constant,L/kg,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00078,
VLc,parameter,,,rdf,BQB_IS,,
VRBCc,parameter,Volume of red blood cells constant,L/kg,rdf,BQM_IS,,
VRBCc,parameter,,,rdf,BQB_IS,,
VPlasmac,parameter,Volume of plasma constant,L/kg,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00104,
VPlasmac,parameter,,,rdf,BQB_IS,,
VGut_lumen,parameter,Volume of gut lumen,L,rdf,BQM_IS,,
VGut_lumen,parameter,,,rdf,BQB_IS,,
VG,parameter,Volume of gut,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00524,
VG,parameter,,,rdf,BQB_IS,,
VL,parameter,Volume of liver,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00077,
VL,parameter,,,rdf,BQB_IS,,
VRBC,parameter,Volume of red blood cells,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00108,
VRBC,parameter,,,rdf,BQB_IS,,
VPlasma,parameter,Volume of plasma,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00103,
VPlasma,parameter,,,rdf,BQB_IS,,
VRest,parameter,Volume of rest of body,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00105,
VRest,parameter,,,rdf,BQB_IS,,
QC,parameter,Cardiac output,L/h,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00013,
QC,parameter,,,rdf,BQB_IS,,
QLc,parameter,Cardiac output fraction to liver,UNITLESS,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00024,
QLc,parameter,,,rdf,BQB_IS,,
QGc,parameter,Cardiac output fraction to gut,UNITLESS,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00513,
QGc,parameter,,,rdf,BQB_IS,,
Qrbcc,parameter,Cardiac output fraction red blood cells,UNITLESS,rdf,BQM_IS,,
Qrbcc,parameter,,,rdf,BQB_IS,,
QGI,parameter,Cardiac output to gut,L/h,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00531,
QGI,parameter,,,rdf,BQB_IS,,
QL,parameter,Cardiac output to liver,L/h,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00024,
QL,parameter,,,rdf,BQB_IS,,
QRest,parameter,Cardiac output to rest of body,L/h,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00050,
QRest,parameter,,,rdf,BQB_IS,,
Qrbc,parameter,Cardiac output rate red blood cells,L/h,rdf,BQM_IS,,
Qrbc,parameter,,,rdf,BQB_IS,,
kabsc,parameter,reabsorption rate in gut constant,UNITLESS,rdf,BQM_IS,,
kabsc,parameter,,,rdf,BQB_IS,,
kabs,parameter,reabsorption rate in gut,UNITLESS,rdf,BQM_IS,,
kabs,parameter,,,rdf,BQB_IS,,
Frac,parameter,,UNITLESS,rdf,BQM_IS,,
Frac,parameter,,,rdf,BQB_IS,,
PGI,parameter,Partition coefficient blood-gut,UNITLESS,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00572,
PGI,parameter,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_25322,
PL,parameter,Partition coefficient blood-liver,UNITLESS,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00577,
PL,parameter,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_25322,
PRBC,parameter,Partition coefficient red blood cells,UNITLESS,rdf,BQM_IS,,
PRBC,parameter,,,rdf,BQB_IS,,
PRest,parameter,Partition coefficient blood- rest body,UNITLESS,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00585,
PRest,parameter,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_25322,
kfec,parameter,fecal elimination rate,UNITLESS,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00236,
kfec,parameter,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_25322,
kfe,parameter,fecal elimination rate,UNITLESS,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00230,
kfe,parameter,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_25322,
kmet_gutlumenc,parameter,metabolism rate constant in gut,UNITLESS,rdf,BQM_IS,,
kmet_gutlumenc,parameter,,,rdf,BQB_IS,,
kmet_gutlumen,parameter,Metabolism rate constant in gut,UNITLESS,rdf,BQM_IS,,
kmet_gutlumen,parameter,,,rdf,BQB_IS,,
kmet_liverc,parameter,metabolism rate constant in liver,UNITLESS,rdf,BQM_IS,,
kmet_liverc,parameter,,,rdf,BQB_IS,,
kmet_liver,parameter,metabolism rate in liver,UNITLESS,rdf,BQM_IS,,
kmet_liver,parameter,,,rdf,BQB_IS,,
kbiliaryc,parameter,Biliary clearance,UNITLESS,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00233,
kbiliaryc,parameter,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_25322,
kbiliary,parameter,Biliary clearance,UNITLESS,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00233,
kbiliary,parameter,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_25322,
CGut_lumen,parameter,Concentration in gut lumen,UNITLESS,rdf,BQM_IS,,
CGut_lumen,parameter,,,rdf,BQB_IS,,
CGI,parameter,Concentration in gut,ug/L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00538,
CGI,parameter,,,rdf,BQB_IS,,
CLiver,parameter,Concentration in liver,ug/L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00539,
CLiver,parameter,,,rdf,BQB_IS,,
CRBC,parameter,Concentration in red blood cells,ug/L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00301,
CRBC,parameter,,,rdf,BQB_IS,,
CPlasma,parameter,Concentration in plasma,ug/L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00549,
CPlasma,parameter,,,rdf,BQB_IS,,
CRest,parameter,Concentration in rest of body,ug/L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00548,
CRest,parameter,,,rdf,BQB_IS,,
